[2026-04-30 10:15:46,774] [INFO] DPU overlay 로드: /home/xilinx/jupyter_notebooks/pynq-dpu/autonomous_driving_baseline/configs/dpu/dpu.bit
[2026-04-30 10:15:51,927] [INFO] DPU overlay 로드 완료
[2026-04-30 10:15:51,929] [INFO] 카메라 open
[2026-04-30 10:15:52,723] [INFO] xmodel load / runner create
[2026-04-30 10:15:53,471] [INFO] DPU input shape: (1, 256, 256, 3)
[2026-04-30 10:15:53,473] [INFO] DPU output shape: (1, 256, 256, 1)
[2026-04-30 10:15:53,474] [INFO] DPU warmup: 2회
[2026-04-30 10:15:53,509] [INFO] actuator mode: dry_run
[2026-04-30 10:15:53,511] [INFO] main loop 시작: max_frames=200, target_fps=10.0
[2026-04-30 10:15:53,967] [INFO] system start: rss=233.2MB | mem_avail=759.3MB | swap_free=511.7MB | load=0.71 0.97 0.60 | temp=hwmon0_temp1_input=52.0C, hwmon1_temp1_input=51.0C, hwmon2_temp1_input=48.9C, hwmon2_temp2_input=50.1C, pl_temp=50.3C, ps_temp=49.5C, remote_temp=48.9C
[2026-04-30 10:15:53,968] [DEBUG] [DBG][0] 루프 시작
[2026-04-30 10:15:53,969] [DEBUG] [DBG][0] 1/6 capture 시작
[2026-04-30 10:15:54,274] [DEBUG] [DBG][0] 1/6 capture 완료 (304.6ms)
[2026-04-30 10:15:54,275] [DEBUG] [DBG][0] 2/6 preprocess 시작
[2026-04-30 10:15:54,296] [DEBUG] [DBG][0] 2/6 preprocess 완료 (20.6ms)
[2026-04-30 10:15:54,297] [DEBUG] [DBG][0] 3/6 DPU inference 시작
[2026-04-30 10:15:54,315] [DEBUG] [DBG][0] 3/6 DPU inference 완료 (17.2ms)
[2026-04-30 10:15:54,316] [DEBUG] [DBG][0] 4/6 postprocess 시작
[2026-04-30 10:15:54,325] [DEBUG] [DBG][0] 4/6 postprocess 완료 (8.9ms)
[2026-04-30 10:15:54,326] [DEBUG] [DBG][0] 5/6 control 시작
[2026-04-30 10:15:54,327] [DEBUG] [DBG][0] 5/6 control 완료 (0.7ms)
[2026-04-30 10:15:54,328] [DEBUG] [DBG][0] 6/6 actuator 시작
[2026-04-30 10:15:54,328] [DEBUG] [DBG][0] 6/6 actuator 완료 (0.8ms)
[2026-04-30 10:15:54,330] [INFO] [0000] cap=304.6ms | pre=20.6ms | inf=17.2ms | post=8.9ms | ctrl=0.7ms | act=0.8ms | total=360.7ms | valid=True | invalid=0 | pixels=3370 | err=-0.697 | steer=-0.279 | speed=0.180 | cur=-0.279 | adc=None
[2026-04-30 10:15:54,763] [INFO] [0000] system: rss=234.0MB | mem_avail=751.7MB | swap_free=511.7MB | load=0.71 0.97 0.60 | temp=hwmon0_temp1_input=52.0C, hwmon1_temp1_input=52.0C, hwmon2_temp1_input=50.2C, hwmon2_temp2_input=51.0C, pl_temp=50.6C, ps_temp=49.0C, remote_temp=50.0C
[2026-04-30 10:15:54,765] [DEBUG] [DBG][1] 루프 시작
[2026-04-30 10:15:54,765] [DEBUG] [DBG][1] 1/6 capture 시작
[2026-04-30 10:15:54,769] [DEBUG] [DBG][1] 1/6 capture 완료 (3.7ms)
[2026-04-30 10:15:54,770] [DEBUG] [DBG][1] 2/6 preprocess 시작
[2026-04-30 10:15:54,783] [DEBUG] [DBG][1] 2/6 preprocess 완료 (12.8ms)
[2026-04-30 10:15:54,785] [DEBUG] [DBG][1] 3/6 DPU inference 시작
[2026-04-30 10:15:54,801] [DEBUG] [DBG][1] 3/6 DPU inference 완료 (16.6ms)
[2026-04-30 10:15:54,803] [DEBUG] [DBG][1] 4/6 postprocess 시작
[2026-04-30 10:15:54,810] [DEBUG] [DBG][1] 4/6 postprocess 완료 (7.7ms)
[2026-04-30 10:15:54,812] [DEBUG] [DBG][1] 5/6 control 시작
[2026-04-30 10:15:54,813] [DEBUG] [DBG][1] 5/6 control 완료 (1.2ms)
[2026-04-30 10:15:54,813] [DEBUG] [DBG][1] 6/6 actuator 시작
[2026-04-30 10:15:54,814] [DEBUG] [DBG][1] 6/6 actuator 완료 (0.5ms)
[2026-04-30 10:15:54,865] [DEBUG] [DBG][2] 루프 시작
[2026-04-30 10:15:54,866] [DEBUG] [DBG][2] 1/6 capture 시작
[2026-04-30 10:15:54,870] [DEBUG] [DBG][2] 1/6 capture 완료 (3.5ms)
[2026-04-30 10:15:54,871] [DEBUG] [DBG][2] 2/6 preprocess 시작
[2026-04-30 10:15:54,884] [DEBUG] [DBG][2] 2/6 preprocess 완료 (12.5ms)
[2026-04-30 10:15:54,885] [DEBUG] [DBG][2] 3/6 DPU inference 시작
[2026-04-30 10:15:54,904] [DEBUG] [DBG][2] 3/6 DPU inference 완료 (18.7ms)
[2026-04-30 10:15:54,905] [DEBUG] [DBG][2] 4/6 postprocess 시작
[2026-04-30 10:15:54,921] [DEBUG] [DBG][2] 4/6 postprocess 완료 (15.3ms)
[2026-04-30 10:15:54,922] [DEBUG] [DBG][2] 5/6 control 시작
[2026-04-30 10:15:54,923] [DEBUG] [DBG][2] 5/6 control 완료 (0.7ms)
[2026-04-30 10:15:54,923] [DEBUG] [DBG][2] 6/6 actuator 시작
[2026-04-30 10:15:54,924] [DEBUG] [DBG][2] 6/6 actuator 완료 (0.5ms)
[2026-04-30 10:15:54,965] [DEBUG] [DBG][3] 루프 시작
[2026-04-30 10:15:54,966] [DEBUG] [DBG][3] 1/6 capture 시작
[2026-04-30 10:15:54,969] [DEBUG] [DBG][3] 1/6 capture 완료 (3.1ms)
[2026-04-30 10:15:54,971] [DEBUG] [DBG][3] 2/6 preprocess 시작
[2026-04-30 10:15:54,984] [DEBUG] [DBG][3] 2/6 preprocess 완료 (13.0ms)
[2026-04-30 10:15:54,985] [DEBUG] [DBG][3] 3/6 DPU inference 시작
[2026-04-30 10:15:55,005] [DEBUG] [DBG][3] 3/6 DPU inference 완료 (19.4ms)
[2026-04-30 10:15:55,006] [DEBUG] [DBG][3] 4/6 postprocess 시작
[2026-04-30 10:15:55,026] [DEBUG] [DBG][3] 4/6 postprocess 완료 (20.7ms)
[2026-04-30 10:15:55,028] [DEBUG] [DBG][3] 5/6 control 시작
[2026-04-30 10:15:55,030] [DEBUG] [DBG][3] 5/6 control 완료 (1.4ms)
[2026-04-30 10:15:55,031] [DEBUG] [DBG][3] 6/6 actuator 시작
[2026-04-30 10:15:55,033] [DEBUG] [DBG][3] 6/6 actuator 완료 (1.4ms)
[2026-04-30 10:15:55,065] [DEBUG] [DBG][4] 루프 시작
[2026-04-30 10:15:55,067] [DEBUG] [DBG][4] 1/6 capture 시작
[2026-04-30 10:15:55,071] [DEBUG] [DBG][4] 1/6 capture 완료 (4.2ms)
[2026-04-30 10:15:55,072] [DEBUG] [DBG][4] 2/6 preprocess 시작
[2026-04-30 10:15:55,086] [DEBUG] [DBG][4] 2/6 preprocess 완료 (13.5ms)
[2026-04-30 10:15:55,087] [DEBUG] [DBG][4] 3/6 DPU inference 시작
[2026-04-30 10:15:55,105] [DEBUG] [DBG][4] 3/6 DPU inference 완료 (17.9ms)
[2026-04-30 10:15:55,106] [DEBUG] [DBG][4] 4/6 postprocess 시작
[2026-04-30 10:15:55,117] [DEBUG] [DBG][4] 4/6 postprocess 완료 (11.2ms)
[2026-04-30 10:15:55,119] [DEBUG] [DBG][4] 5/6 control 시작
[2026-04-30 10:15:55,119] [DEBUG] [DBG][4] 5/6 control 완료 (0.6ms)
[2026-04-30 10:15:55,119] [DEBUG] [DBG][4] 6/6 actuator 시작
[2026-04-30 10:15:55,120] [DEBUG] [DBG][4] 6/6 actuator 완료 (0.4ms)
[2026-04-30 10:15:55,165] [DEBUG] [DBG][5] 루프 시작
[2026-04-30 10:15:55,166] [DEBUG] [DBG][5] 1/6 capture 시작
[2026-04-30 10:15:55,170] [DEBUG] [DBG][5] 1/6 capture 완료 (3.6ms)
[2026-04-30 10:15:55,171] [DEBUG] [DBG][5] 2/6 preprocess 시작
[2026-04-30 10:15:55,184] [DEBUG] [DBG][5] 2/6 preprocess 완료 (12.9ms)
[2026-04-30 10:15:55,185] [DEBUG] [DBG][5] 3/6 DPU inference 시작
[2026-04-30 10:15:55,206] [DEBUG] [DBG][5] 3/6 DPU inference 완료 (20.2ms)
[2026-04-30 10:15:55,208] [DEBUG] [DBG][5] 4/6 postprocess 시작
[2026-04-30 10:15:55,221] [DEBUG] [DBG][5] 4/6 postprocess 완료 (13.3ms)
[2026-04-30 10:15:55,222] [DEBUG] [DBG][5] 5/6 control 시작
[2026-04-30 10:15:55,223] [DEBUG] [DBG][5] 5/6 control 완료 (0.6ms)
[2026-04-30 10:15:55,223] [DEBUG] [DBG][5] 6/6 actuator 시작
[2026-04-30 10:15:55,224] [DEBUG] [DBG][5] 6/6 actuator 완료 (0.5ms)
[2026-04-30 10:15:55,266] [DEBUG] [DBG][6] 루프 시작
[2026-04-30 10:15:55,267] [DEBUG] [DBG][6] 1/6 capture 시작
[2026-04-30 10:15:55,270] [DEBUG] [DBG][6] 1/6 capture 완료 (3.1ms)
[2026-04-30 10:15:55,271] [DEBUG] [DBG][6] 2/6 preprocess 시작
[2026-04-30 10:15:55,285] [DEBUG] [DBG][6] 2/6 preprocess 완료 (13.2ms)
[2026-04-30 10:15:55,286] [DEBUG] [DBG][6] 3/6 DPU inference 시작
[2026-04-30 10:15:55,304] [DEBUG] [DBG][6] 3/6 DPU inference 완료 (17.6ms)
[2026-04-30 10:15:55,305] [DEBUG] [DBG][6] 4/6 postprocess 시작
[2026-04-30 10:15:55,318] [DEBUG] [DBG][6] 4/6 postprocess 완료 (12.7ms)
[2026-04-30 10:15:55,319] [DEBUG] [DBG][6] 5/6 control 시작
[2026-04-30 10:15:55,320] [DEBUG] [DBG][6] 5/6 control 완료 (0.6ms)
[2026-04-30 10:15:55,320] [DEBUG] [DBG][6] 6/6 actuator 시작
[2026-04-30 10:15:55,321] [DEBUG] [DBG][6] 6/6 actuator 완료 (0.4ms)
[2026-04-30 10:15:55,366] [DEBUG] [DBG][7] 루프 시작
[2026-04-30 10:15:55,367] [DEBUG] [DBG][7] 1/6 capture 시작
[2026-04-30 10:15:55,371] [DEBUG] [DBG][7] 1/6 capture 완료 (3.4ms)
[2026-04-30 10:15:55,371] [DEBUG] [DBG][7] 2/6 preprocess 시작
[2026-04-30 10:15:55,384] [DEBUG] [DBG][7] 2/6 preprocess 완료 (12.6ms)
[2026-04-30 10:15:55,386] [DEBUG] [DBG][7] 3/6 DPU inference 시작
[2026-04-30 10:15:55,404] [DEBUG] [DBG][7] 3/6 DPU inference 완료 (17.9ms)
[2026-04-30 10:15:55,405] [DEBUG] [DBG][7] 4/6 postprocess 시작
[2026-04-30 10:15:55,414] [DEBUG] [DBG][7] 4/6 postprocess 완료 (9.1ms)
[2026-04-30 10:15:55,415] [DEBUG] [DBG][7] 5/6 control 시작
[2026-04-30 10:15:55,416] [DEBUG] [DBG][7] 5/6 control 완료 (0.6ms)
[2026-04-30 10:15:55,416] [DEBUG] [DBG][7] 6/6 actuator 시작
[2026-04-30 10:15:55,416] [DEBUG] [DBG][7] 6/6 actuator 완료 (0.4ms)
[2026-04-30 10:15:55,466] [DEBUG] [DBG][8] 루프 시작
[2026-04-30 10:15:55,467] [DEBUG] [DBG][8] 1/6 capture 시작
[2026-04-30 10:15:55,471] [DEBUG] [DBG][8] 1/6 capture 완료 (4.3ms)
[2026-04-30 10:15:55,473] [DEBUG] [DBG][8] 2/6 preprocess 시작
[2026-04-30 10:15:55,487] [DEBUG] [DBG][8] 2/6 preprocess 완료 (14.6ms)
[2026-04-30 10:15:55,488] [DEBUG] [DBG][8] 3/6 DPU inference 시작
[2026-04-30 10:15:55,509] [DEBUG] [DBG][8] 3/6 DPU inference 완료 (20.6ms)
[2026-04-30 10:15:55,510] [DEBUG] [DBG][8] 4/6 postprocess 시작
[2026-04-30 10:15:55,518] [DEBUG] [DBG][8] 4/6 postprocess 완료 (8.2ms)
[2026-04-30 10:15:55,519] [DEBUG] [DBG][8] 5/6 control 시작
[2026-04-30 10:15:55,520] [DEBUG] [DBG][8] 5/6 control 완료 (0.6ms)
[2026-04-30 10:15:55,520] [DEBUG] [DBG][8] 6/6 actuator 시작
[2026-04-30 10:15:55,521] [DEBUG] [DBG][8] 6/6 actuator 완료 (0.4ms)
[2026-04-30 10:15:55,566] [DEBUG] [DBG][9] 루프 시작
[2026-04-30 10:15:55,567] [DEBUG] [DBG][9] 1/6 capture 시작
[2026-04-30 10:15:55,570] [DEBUG] [DBG][9] 1/6 capture 완료 (3.0ms)
[2026-04-30 10:15:55,571] [DEBUG] [DBG][9] 2/6 preprocess 시작
[2026-04-30 10:15:55,585] [DEBUG] [DBG][9] 2/6 preprocess 완료 (13.4ms)
[2026-04-30 10:15:55,586] [DEBUG] [DBG][9] 3/6 DPU inference 시작
[2026-04-30 10:15:55,603] [DEBUG] [DBG][9] 3/6 DPU inference 완료 (16.7ms)
[2026-04-30 10:15:55,603] [DEBUG] [DBG][9] 4/6 postprocess 시작
[2026-04-30 10:15:55,614] [DEBUG] [DBG][9] 4/6 postprocess 완료 (10.2ms)
[2026-04-30 10:15:55,615] [DEBUG] [DBG][9] 5/6 control 시작
