frame_id,execution_order,baseline_preprocess_ms,baseline_inference_ms,baseline_postprocess_ms,baseline_pipeline_ms,baseline_steering_error,baseline_steering_cmd,baseline_lane_pixels,baseline_valid,rtl_preprocess_ms,rtl_inference_ms,rtl_postprocess_ms,rtl_pipeline_ms,rtl_steering_error,rtl_steering_cmd,rtl_lane_pixels,rtl_valid,steering_error_abs_diff,steering_cmd_abs_diff,rtl_copy_ms,rtl_compute_ms
0,baseline->rtl,5.811782,14.332366,7.515177,27.71186,0.1125,0.04725,57000,True,5.643445,14.311284,6.685846,26.6777,0.609375,0.2559375,12010,True,0.496875,0.2086875,0.373266,6.139833
1,rtl->baseline,5.631264,14.318125,7.44735,27.443324,0.1125,0.0324,57101,True,5.616743,14.379061,6.667945,26.711803,0.609375,0.1755,12020,True,0.496875,0.1431,0.373576,6.119271
2,baseline->rtl,5.672088,14.385771,7.563372,27.674276,0.1125,0.02646,57115,True,5.679509,14.545687,6.688787,26.952516,0.609375,0.143325,12036,True,0.496875,0.116865,0.370206,6.121342
3,rtl->baseline,5.606662,14.406413,8.465458,28.523358,0.1125,0.024084,57348,True,5.579219,14.346058,6.665334,26.640027,0.609375,0.130455,12075,True,0.496875,0.106371,0.366466,6.124172
4,baseline->rtl,5.553627,14.422395,7.412196,27.442034,0.1125,0.0231336,57232,True,5.645096,14.396663,6.687447,26.767438,0.609375,0.125307,12054,True,0.496875,0.1021734,0.363885,6.117991
5,rtl->baseline,5.592547,14.427117,7.480399,27.544508,0.1125,0.02275344,57229,True,5.568759,14.354098,6.663272,26.634023,0.609375,0.1232478,12059,True,0.496875,0.10049436,0.368165,6.12497
6,baseline->rtl,5.657954,14.335558,7.481019,27.527457,0.1125,0.022601376,57284,True,5.571266,14.367441,6.65925,26.640371,0.609375,0.12242412,12069,True,0.496875,0.099822744,0.372716,6.117748
7,rtl->baseline,5.570646,14.483263,7.422074,27.521636,0.1125,0.02254055,57282,True,5.608399,14.396424,6.667931,26.719889,0.609375,0.122094648,12065,True,0.496875,0.099554098,0.367046,6.12971
8,baseline->rtl,5.681386,14.347799,7.504551,27.586772,0.1125,0.02251622,57243,True,5.578406,14.3485,6.672681,26.63838,0.609375,0.121962859,12062,True,0.496875,0.099446639,0.374736,6.126379
9,rtl->baseline,5.626561,14.279773,7.465097,27.417095,0.1125,0.022506488,57166,True,5.686167,14.398734,6.66348,26.795396,0.609375,0.121910144,12046,True,0.496875,0.099403656,0.371375,6.118038
10,baseline->rtl,5.589067,14.489383,7.530683,27.663349,0.1125,0.022502595,57158,True,5.572416,14.431858,6.6569,26.698836,0.609375,0.121889057,12038,True,0.496875,0.099386462,0.361995,6.122848
11,rtl->baseline,5.614239,14.307665,7.463298,27.430747,0.1125,0.022501038,57094,True,5.572406,14.438488,6.652969,26.712477,0.609375,0.121880623,12038,True,0.496875,0.099379585,0.366316,6.115938
12,baseline->rtl,5.562685,14.432257,7.484289,27.531986,0.1125,0.022500415,57203,True,5.577426,14.362521,6.665991,26.645381,0.609375,0.121877249,12072,True,0.496875,0.099376834,0.371105,6.122469
13,rtl->baseline,5.557914,14.303715,7.530104,27.437118,0.1125,0.022500166,57118,True,5.607339,14.497383,6.665451,26.817948,0.609375,0.1218759,12031,True,0.496875,0.099375734,0.371066,6.122729
14,baseline->rtl,5.638382,14.517206,7.494281,27.702903,0.1125,0.022500066,57084,True,5.675516,14.507935,6.714205,26.936739,0.609375,0.12187536,12033,True,0.496875,0.099375294,0.367016,6.125929
15,rtl->baseline,5.602419,14.320147,11.944548,31.913688,0.1125,0.022500027,57067,True,5.642892,14.403185,6.884101,26.978904,0.609375,0.121875144,12020,True,0.496875,0.099375117,0.365086,6.346981
16,baseline->rtl,5.591598,14.522836,7.422504,27.590723,0.1125,0.022500011,57203,True,5.647853,14.451429,6.690033,26.829289,0.609375,0.121875058,12052,True,0.496875,0.099375047,0.403318,6.114448
17,rtl->baseline,5.61632,14.344739,7.48637,27.492883,0.1125,0.022500004,57121,True,5.62025,14.36038,6.673042,26.701147,0.609375,0.121875023,12032,True,0.496875,0.099375019,0.370516,6.127619
18,baseline->rtl,5.683726,14.393134,7.459257,27.589422,0.1125,0.022500002,57104,True,5.640872,14.497953,6.677342,26.855751,0.609375,0.121875009,12041,True,0.496875,0.099375007,0.369966,6.135089
19,rtl->baseline,5.603269,14.421357,7.417423,27.486192,0.1125,0.022500001,57103,True,5.601449,14.46568,6.671871,26.787195,0.609375,0.121875004,12023,True,0.496875,0.099375003,0.371375,6.127089
20,baseline->rtl,5.667385,14.382342,7.523803,27.627185,0.1125,0.0225,57085,True,5.666765,14.315936,6.66078,26.683665,0.609375,0.121875001,12007,True,0.496875,0.099375001,0.363595,6.123869
21,rtl->baseline,5.61973,14.328719,7.472474,27.467157,0.1125,0.0225,57028,True,5.62527,14.427057,6.66447,26.763203,0.609375,0.121875001,12015,True,0.496875,0.099375001,0.366565,6.122869
22,baseline->rtl,5.591114,14.34372,7.53667,27.5243,0.1125,0.0225,57088,True,5.572693,14.480934,6.667207,26.759677,0.609375,0.121875,12042,True,0.496875,0.099375,0.373335,6.120705
23,rtl->baseline,5.606645,14.33592,7.43176,27.418569,0.1125,0.0225,57134,True,5.582923,14.410937,6.667737,26.709082,0.609375,0.121875,12029,True,0.496875,0.099375,0.366495,6.123975
24,baseline->rtl,5.594265,14.352791,7.522169,27.52152,0.1125,0.0225,56889,True,5.597475,14.3369,6.664197,26.639015,0.609375,0.121875,12012,True,0.496875,0.099375,0.372075,6.121805
25,rtl->baseline,5.6444,14.360222,7.53689,27.587266,0.1125,0.0225,57072,True,5.608105,14.323349,6.654705,26.633535,0.609375,0.121875,12024,True,0.496875,0.099375,0.365695,6.118045
26,baseline->rtl,5.662601,14.444141,7.43295,27.592556,0.1125,0.0225,57119,True,5.672442,15.241367,6.648406,27.602337,0.609375,0.121875,12025,True,0.496875,0.099375,0.361955,6.116124
27,rtl->baseline,5.630908,14.306197,7.496586,27.479375,0.1125,0.0225,57166,True,5.605255,14.43621,6.652986,26.741715,0.609375,0.121875,12033,True,0.496875,0.099375,0.364905,6.114704
28,baseline->rtl,5.615397,14.363392,7.602996,27.63176,0.1125,0.0225,57025,True,5.6559,14.321448,6.680918,26.697341,0.609375,0.121875,12022,True,0.496875,0.099375,0.368805,6.119565
29,rtl->baseline,5.614016,14.465852,7.522229,27.646142,0.1125,0.0225,57055,True,5.692124,14.310538,6.664586,26.715073,0.609375,0.121875,12017,True,0.496875,0.099375,0.371336,6.116274
30,baseline->rtl,5.556541,14.376373,7.451982,27.437492,0.1125,0.0225,56987,True,5.634089,14.402156,6.689139,26.767148,0.609375,0.121875,12010,True,0.496875,0.099375,0.394998,6.120625
31,rtl->baseline,5.568422,14.329439,8.740895,28.683801,0.1125,0.0225,57066,True,5.583674,14.364293,6.665397,26.660848,0.609375,0.121875,12021,True,0.496875,0.099375,0.370805,6.119645
32,baseline->rtl,5.565852,14.409376,7.472364,27.499638,0.1125,0.0225,57066,True,5.618617,14.375453,6.758606,26.79175,0.609375,0.121875,12014,True,0.496875,0.099375,0.463664,6.122175
33,rtl->baseline,5.572852,14.379904,7.53314,27.530251,0.1125,0.0225,57089,True,5.608466,14.44528,6.670758,26.770488,0.609375,0.121875,12022,True,0.496875,0.099375,0.374866,6.121735
34,baseline->rtl,5.645409,14.357462,7.453493,27.510479,0.1125,0.0225,57043,True,5.737338,14.330609,6.657876,26.764567,0.609375,0.121875,12025,True,0.496875,0.099375,0.362364,6.118525
35,rtl->baseline,5.597094,14.34303,7.519899,27.506119,0.1125,0.0225,56892,True,5.6482,14.555951,6.651146,26.90204,0.609375,0.121875,12014,True,0.496875,0.099375,0.365985,6.110614
36,baseline->rtl,5.636818,14.556041,7.558572,27.804047,0.1125,0.0225,57084,True,5.638299,14.304857,6.680528,26.664818,0.609375,0.121875,12024,True,0.496875,0.099375,0.388887,6.116045
37,rtl->baseline,5.610996,14.400514,7.509603,27.566327,0.1125,0.0225,56994,True,5.602855,14.43618,6.651996,26.740095,0.609375,0.121875,11999,True,0.496875,0.099375,0.366685,6.113724
38,baseline->rtl,5.618974,14.443322,7.645676,27.759437,0.1125,0.0225,57083,True,5.612183,14.359364,6.661113,26.672103,0.609375,0.121875,12023,True,0.496875,0.099375,0.370215,6.118991
39,rtl->baseline,5.68614,14.341553,7.497322,27.570288,0.1125,0.0225,57081,True,5.604492,14.406018,6.666853,26.725658,0.609375,0.121875,12019,True,0.496875,0.099375,0.373085,6.120372
40,baseline->rtl,5.634535,14.407678,7.513864,27.607902,0.1125,0.0225,57052,True,5.676119,14.422299,6.668533,26.805826,0.609375,0.121875,12004,True,0.496875,0.099375,0.374565,6.118411
41,rtl->baseline,5.592481,14.371385,7.592071,27.601622,0.1125,0.0225,57044,True,5.553397,14.417179,6.658603,26.676334,0.609375,0.121875,12001,True,0.496875,0.099375,0.374306,6.1113
42,baseline->rtl,5.635805,14.471535,7.510954,27.670298,0.1125,0.0225,57100,True,5.611873,14.557892,6.679324,26.888924,0.609375,0.121875,12033,True,0.496875,0.099375,0.361484,6.144864
43,rtl->baseline,5.5867,14.381336,7.47536,27.488611,0.1125,0.0225,57093,True,5.612183,14.482506,6.657992,26.801085,0.609375,0.121875,12018,True,0.496875,0.099375,0.374596,6.1112
44,baseline->rtl,5.566769,14.386166,7.535796,27.542686,0.1125,0.0225,57151,True,5.550827,14.482865,6.662563,26.734669,0.609375,0.121875,12019,True,0.496875,0.099375,0.372925,6.116351
45,rtl->baseline,5.642506,14.347182,7.499602,27.533515,0.1125,0.0225,57103,True,5.68543,14.450872,6.681995,26.865462,0.609375,0.121875,12015,True,0.496875,0.099375,0.397498,6.1092
46,baseline->rtl,5.585511,14.492536,7.516924,27.651296,0.1125,0.0225,57099,True,5.601712,14.360194,6.666323,26.669533,0.609375,0.121875,12012,True,0.496875,0.099375,0.379176,6.11348
47,rtl->baseline,5.642346,14.32699,7.574789,27.58916,0.1125,0.0225,57093,True,5.663338,14.518619,6.656062,26.884264,0.609375,0.121875,12030,True,0.496875,0.099375,0.373275,6.10631
48,baseline->rtl,5.615553,14.342892,7.466809,27.47814,0.1125,0.0225,57104,True,5.57523,14.439212,6.658313,26.710867,0.609375,0.121875,12026,True,0.496875,0.099375,0.369135,6.115101
49,rtl->baseline,5.658378,14.394657,7.514214,27.613403,0.1125,0.0225,57135,True,5.616723,14.441472,6.666264,26.772563,0.609375,0.121875,12028,True,0.496875,0.099375,0.375346,6.115521
50,baseline->rtl,5.605072,14.400018,7.453077,27.509063,0.1125,0.0225,57031,True,5.644606,14.364144,6.688495,26.734849,0.609375,0.121875,12005,True,0.496875,0.099375,0.408839,6.10577
51,rtl->baseline,5.665118,14.355893,8.620839,28.687045,0.1125,0.0225,57115,True,5.608992,14.41881,6.665494,26.74101,0.609375,0.121875,12020,True,0.496875,0.099375,0.378416,6.11012
52,baseline->rtl,5.560938,14.382646,7.90382,27.89996,0.1125,0.0225,57114,True,5.621993,14.387146,6.660143,26.708317,0.609375,0.121875,12018,True,0.496875,0.099375,0.374286,6.11087
53,rtl->baseline,5.613193,14.338342,7.597661,27.595979,0.1125,0.0225,57104,True,5.622834,14.681234,6.707787,27.06198,0.609375,0.121875,12025,True,0.496875,0.099375,0.42172,6.10694
54,baseline->rtl,5.586048,14.442934,7.503668,27.583494,0.1125,0.0225,57195,True,5.576597,14.451704,6.67129,26.736914,0.609375,0.121875,12034,True,0.496875,0.099375,0.372605,6.126018
55,rtl->baseline,5.593868,14.413311,7.568514,27.620017,0.1125,0.0225,57114,True,5.625891,14.439764,6.681961,26.79392,0.609375,0.121875,12026,True,0.496875,0.099375,0.372895,6.13496
56,baseline->rtl,5.562505,14.40905,7.51404,27.538129,0.1125,0.0225,57110,True,5.732861,14.400949,6.657228,26.830533,0.609375,0.121875,12029,True,0.496875,0.099375,0.374855,6.107247
57,rtl->baseline,5.586927,14.450314,8.712302,28.795298,0.1125,0.0225,57153,True,5.558135,14.423212,6.662369,26.690659,0.609375,0.121875,12038,True,0.496875,0.099375,0.372425,6.114578
58,baseline->rtl,5.569175,14.653024,7.436113,27.712776,0.1125,0.0225,57176,True,5.584417,14.860303,6.644647,27.128281,0.609375,0.121875,12042,True,0.496875,0.099375,0.363574,6.108397
59,rtl->baseline,5.600059,14.441103,7.504098,27.590375,0.1125,0.0225,57174,True,5.637242,14.590697,6.658699,26.934153,0.609375,0.121875,12047,True,0.496875,0.099375,0.373665,6.111967
60,baseline->rtl,5.600679,14.347484,7.437832,27.43681,0.1125,0.0225,57060,True,5.61368,14.377257,6.903622,26.934893,0.609375,0.121875,12014,True,0.496875,0.099375,0.369625,6.36211
61,rtl->baseline,5.61373,14.51129,12.131535,32.301539,0.1125,0.0225,56974,True,5.61619,14.390619,6.650958,26.704702,0.609375,0.121875,11997,True,0.496875,0.099375,0.371995,6.106857
62,baseline->rtl,5.639272,14.40619,7.619049,27.718007,0.1125,0.0225,56988,True,5.544634,14.313201,6.653378,26.548236,0.609375,0.121875,12001,True,0.496875,0.099375,0.364144,6.116307
63,rtl->baseline,5.61386,14.274987,7.62391,27.556422,0.1125,0.0225,57067,True,5.690737,14.372427,6.657988,26.767607,0.609375,0.121875,12022,True,0.496875,0.099375,0.366934,6.116398
64,baseline->rtl,5.61071,14.441723,7.564584,27.669462,0.1125,0.0225,57092,True,5.61349,14.345194,6.654128,26.649746,0.609375,0.121875,12034,True,0.496875,0.099375,0.361705,6.120968
65,rtl->baseline,5.578316,14.288419,7.559604,27.472744,0.1125,0.0225,57031,True,5.663465,14.389009,6.67728,26.777628,0.609375,0.121875,12022,True,0.496875,0.099375,0.365165,6.135709
66,baseline->rtl,5.571386,14.490668,11.239391,31.3571,0.1125,0.0225,56940,True,5.577556,14.342124,6.66972,26.627584,0.609375,0.121875,11993,True,0.496875,0.099375,0.376386,6.118137
67,rtl->baseline,5.585057,14.343085,7.510449,27.484315,0.1125,0.0225,57043,True,5.641402,14.555574,6.6711,26.915601,0.609375,0.121875,12009,True,0.496875,0.099375,0.383156,6.108006
68,baseline->rtl,5.61999,14.453755,7.506308,27.634269,0.1125,0.0225,56999,True,5.570566,14.395429,6.651687,26.655887,0.609375,0.121875,11996,True,0.496875,0.099375,0.364555,6.115217
