frame_id,execution_order,baseline_preprocess_ms,baseline_inference_ms,baseline_postprocess_ms,baseline_pipeline_ms,baseline_steering_error,baseline_steering_cmd,baseline_lane_pixels,baseline_valid,baseline_reference_x,baseline_reference_y,baseline_raw_error_q15,rtl_preprocess_ms,rtl_inference_ms,rtl_postprocess_ms,rtl_pipeline_ms,rtl_steering_error,rtl_steering_cmd,rtl_lane_pixels,rtl_valid,rtl_reference_x,rtl_reference_y,rtl_raw_error_q15,steering_error_abs_diff,steering_cmd_abs_diff,rtl_copy_ms,rtl_compute_ms
0,baseline_overlay_pass->release->rtl_overlay_pass,5.55693,14.288662,2.830967,22.72065,0.109375,0.0459375,11901,True,142,179,3584,5.615194,14.625997,0.867283,21.144094,0.109375,0.0459375,11901,True,142,,3584,0.0,0.0,0.355995,0.335385
1,baseline_overlay_pass->release->rtl_overlay_pass,6.12872,14.492476,2.895947,23.566953,0.109375,0.0315,11917,True,142,179,3584,5.689564,14.893812,0.873133,21.504669,0.109375,0.0315,11917,True,142,,3584,0.0,0.0,0.358936,0.335105
2,baseline_overlay_pass->release->rtl_overlay_pass,6.079479,15.463762,2.849176,24.444798,0.109375,0.025725,11928,True,142,179,3584,5.693824,14.597037,1.009525,21.349787,0.109375,0.025725,11928,True,142,,3584,0.0,0.0,0.451587,0.348155
3,baseline_overlay_pass->release->rtl_overlay_pass,5.661162,15.31774,2.853357,23.882399,0.109375,0.023415,11968,True,142,179,3584,5.650774,14.262292,0.901624,20.8608,0.109375,0.023415,11968,True,142,,3584,0.0,0.0,0.376015,0.338565
4,baseline_overlay_pass->release->rtl_overlay_pass,5.677053,14.977014,3.03656,23.744097,0.109375,0.022491,11948,True,142,179,3584,5.730095,14.567297,0.896723,21.242915,0.109375,0.022491,11948,True,142,,3584,0.0,0.0,0.373425,0.339965
5,baseline_overlay_pass->release->rtl_overlay_pass,5.647762,14.675988,3.416615,23.793078,0.109375,0.0221214,11954,True,142,179,3584,5.609723,14.311722,0.899984,20.86874,0.109375,0.0221214,11954,True,142,,3584,0.0,0.0,0.377735,0.339455
6,baseline_overlay_pass->release->rtl_overlay_pass,5.631332,14.446435,2.864647,22.996834,0.109375,0.02197356,11958,True,142,179,3584,5.758506,14.305542,0.939924,21.049883,0.109375,0.02197356,11958,True,142,,3584,0.0,0.0,0.419306,0.335605
7,baseline_overlay_pass->release->rtl_overlay_pass,5.641252,14.347504,2.838436,22.874842,0.109375,0.021914424,11960,True,142,179,3584,5.872187,14.655038,0.898964,21.471459,0.109375,0.021914424,11960,True,142,,3584,0.0,0.0,0.374505,0.335235
8,baseline_overlay_pass->release->rtl_overlay_pass,6.106049,14.433764,2.895907,23.482032,0.109375,0.02189077,11952,True,142,179,3584,5.701635,15.235866,0.869653,21.850835,0.109375,0.02189077,11952,True,142,,3584,0.0,0.0,0.338525,0.355586
9,baseline_overlay_pass->release->rtl_overlay_pass,6.070499,15.37185,2.870916,24.357596,0.109375,0.021881308,11934,True,142,179,3584,5.665454,15.497131,0.873483,22.122079,0.109375,0.021881308,11934,True,142,,3584,0.0,0.0,0.342485,0.328355
10,baseline_overlay_pass->release->rtl_overlay_pass,5.633652,15.195237,2.868367,23.745196,0.109375,0.021877523,11929,True,142,179,3584,5.691165,14.715799,0.866343,21.318807,0.109375,0.021877523,11929,True,142,,3584,0.0,0.0,0.358486,0.331395
11,baseline_overlay_pass->release->rtl_overlay_pass,5.764104,14.918782,2.924097,23.654644,0.109375,0.021876009,11928,True,142,179,3584,5.628344,14.78925,0.877343,21.340737,0.109375,0.021876009,11928,True,142,,3584,0.0,0.0,0.359596,0.337685
12,baseline_overlay_pass->release->rtl_overlay_pass,5.649782,15.056974,3.319364,24.087662,0.109375,0.021875404,11964,True,142,179,3584,5.677124,14.530136,2.525087,22.781508,0.109375,0.021875404,11964,True,142,,3584,0.0,0.0,1.990449,0.332065
13,baseline_overlay_pass->release->rtl_overlay_pass,5.678692,14.333013,3.158921,23.225968,0.109375,0.021875161,11922,True,142,179,3584,5.654334,14.407904,0.975965,21.087023,0.109375,0.021875161,11922,True,142,,3584,0.0,0.0,0.402546,0.348595
14,baseline_overlay_pass->release->rtl_overlay_pass,5.635772,14.299772,2.867176,22.852191,0.109375,0.021875065,11927,True,142,179,3584,5.684895,14.351353,0.984204,21.069263,0.109375,0.021875065,11927,True,142,,3584,0.0,0.0,0.461307,0.334955
